name,N,board_1,solution,score,tier,is_solved
puzzle_2641_2,9,AAABCCDDDAABBBCCDDAABBDDDDDAABBDDEEEAFBBBDDDDGFGBBHHHDGFGBBIIIDGGGBBIIIDGGGGBIIID,..x.x..........x.xx...x..........x.x.x.x..........x.x..x.x..........x.x.x.x......,41,Beginner,True
puzzle_9686_2,9,AAAAAAAAAAAAABBBACAADDDCCCCAADDEEECCFDDDDGCCCFFDGGGCHCIFFFFHHHHIIIIFFFHHIIIIIHHHH,x.x..........x.x....x.....x....x.x...x......x...x.x....x.....x....x.x...x......x.,41,Beginner,True
puzzle_499_1,9,AAAAABBBCAAAAABBBCDDDDAEEECDDDDAFFCCGGGDFFFCCGGGCCCCCCGGHHCCIIIGGHHIIIIIGGHHHHIII,.....x.x..x.x..........x.x.x.x..........x.x..x.......x..x.x..........x.x.x.x.....,42,Beginner,True
puzzle_4123_1,9,AAAAABBBBAAAAACCBBDAAACCCCCDDEEEECCCDDFEGECHHDDFGGEEHHDFFFGHHHIDFHHHHHIIHHHHHHHHI,.x...x......x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x,42,Beginner,True
puzzle_578_2,9,ABBCCCCDDAABCCCEDDFABBBBEDDFFFBEBEEDFFFBEEEEEFFFFGGEEEFFHFGGIEEFFHGGGIIEFFHGGGGIE,x....x......x...x..x...x......x....x.x....x......x...x..x...x..x...x......x....x.,44,Beginner,True
puzzle_1448_2,9,AAABBBBBBAAABCCCDDAABBDDDDDAABBBEDFFAGGGBEFFFAAAGEEEFFHAAEEEIIFHHHEEIIFFHHHEEEIFF,x.x..........x.x....x.....x....x.x...x......x...x.x...x......x....x.x....x.....x.,44,Beginner,True
puzzle_4946_2,9,ABBBBBBBBAABBBCBBBAADDCCCCEAAADDFCCEAAGGFFFFEGGGHHFFFFGGHHIIFFFGGGIIFFIFGGIIIIIIF,...x...x.x....x.....x.....x....x.x...x......x....x.x..x.x...........x.x..x.x.....,44,Beginner,True
puzzle_2754_1,9,AAAAABCCCAAABBBBCCAABBDDCCCEEEDDFFCCEEEFFFFFFGGEFFFFFFGGGHHFIFFGGHHGGIIFGGGGGGGIF,.x...x......x...x..x...x......x....xx.....x....x.....x....x.x..x.x..........x..x.,45,Beginner,True
puzzle_2081_2,9,AAABBBBCCAAABBDDCCEFBBBDDCGEFFBBBDCGEEFBBBCCGEEEEHHCCCHHHEHHCCCHHHHHICCCHHHIIIICC,x.x..........x.x...x......x....x.x....x.....xx....x......x...x..x...x......x...x.,46,Beginner,True
puzzle_3880_1,9,AAAAAAABBACCCCAAABAAAAADBBBAAEEDDBBBEAEEDDFFBEEEGGHHFFEEEGGHHHHIEEGGGGHGIIIGGGGGG,......x.x.x.x..........x.x.x.x..........x.x...x......x...x.x...x......x...x.x....,47,Beginner,True
