name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_4390_1,9,AAABCCCCDAAABCECCDAAABCECDDAAFBEEEDDAFFGGGEDDAAFGGGGDDHFFFIIGDIHHHIIIIIIHHHIIIIII,AAAABBBBBAAAABBBBBACAADDDDDACAEDDDDDCCAEEEEDDAAAFFGGGGHAFFIIGGGHHHHIIGIGHHHIIIIIG,x....x......x...x..x...x......x....x.x....x......x...x..x...x..x...x......x....x.,36,Beginner,True
puzzle_1726_2,9,AAAABBBCCAADDBBBCCAAADDDCCCAAEFDDCCCGGEFDCCCHGGEFEEIIHGGEEEEIIHGGEEEIIIIGGGEIIIII,AAAABBBAAAACAAAAAAAACADDAAAACCEEDAFFAACEEDAAFGHHHEAAAFGHGEEEEFFGGGGGIIFFIIIIIIIII,....x.x..x.x...........x.x..x.x..........x..x.x.x...........x.x..x.x....x......x.,38,Beginner,True
puzzle_3787_2,9,AABBBCCCCAABCCCCCCAACCDDECFAACCCDEFFCCCDDDEFFGGCDDDEEEGCCDDHHEHGGIIDDHEHGIIIIHHHH,AAAAABBBCAABBBBBBCADDDBBBBCDDDEEBBFFDDGEEFFFFDGGEEHHIFDGGGHHHIIDGGHHHHIIGGGGHHIII,....x...xx.x............x.x.x.x..........x.x..x.x..........x.x.x.x..........x.x..,38,Beginner,True
puzzle_7140_2,9,AABBBBCDDAEEBBBCDDAEEEBBCDDAAEEBDDDDFGGEBDDHHFFGGBDIIHFGGGBIIIHFGGGBBHIHGGGBBBHHH,AAAAAABBBAACABBBBDCCCABBDDDEFCAGGGHGEFCGGHHHGEFCCGGGGGECCCGGGGGEEECCCCGGIIIIIIIII,x.....x....x.x..........x.x.x.x..........x.x..x.x..........x.x.x.x..........x...x,38,Beginner,True
puzzle_9080_2,9,AAAAAABBBAAACAABBBADACEEEBBDDDCEEEBBDDDEEEEFFDDGGGEEFFHGGFIIIFFHHHFIFFFFHHHFFFFFF,AABBBBBCCAAABBBBCCAAABBDDCCAAAEBBDCCFEEEBDDGGFFFHHHHGGFFFFFHHGGFFIFIHGGGFFIIIHHGG,x....x......x...x..x...x......x....x.x....x......x...x..x...x..x...x......x....x.,38,Beginner,True
puzzle_1553_1,9,AAAAABBBBAACCCBDDBAAEEDDDFBAAEGDFFFFAAEGGGGFFAAEGHGGFFAEEGHHHHFAAEIFHFFFIIIIFFFFF,AAABBCCCCAAABBCCCCDEEBBBBCCDDEBFFBCCDEEFFFGGGDEHHHFGGGDEHHHHHGGDHHIIHIIGDDHHIIIIG,x.....x....x.x..........x.x..x.x....x.......x...x.x....x.....x....x.x....x.....x.,38,Beginner,True
puzzle_3259_1,9,AABBBBBCCAAABDBCCCAAADDCCECAFAADDCECFFFDDDCECFGGGDDCHHGGGGDDHHHIIIGGGGHHGGGGGGHHH,AAAAAAABBACAADABBBCCEDDDDBECFEEDDDEECFFEEDEEECFFFEEEEECGFHHHIIEGGGHHHIIIGGHHHHIII,......x.x.x.x..........x.x..x.x..........x.x.x.x..........x.x..x.x..........x...x,38,Beginner,True
puzzle_275_2,9,AAABBBBCCAABBDBCCCAAEDDBBCCAEEDDBBCCEEEEDBBCCEFFGHHHHHFFFGHHHHHFFFGIIIIIFFFFFIIII,AAABBBBBBAABBCBBBBDAABCBBBBDBBBCBEEEDFBBBBEEEDFFGGGEEEDFFFGHHIIDHHHHHHHIDHHHHHIII,..x...x......x...xx.x..........x.x...x......x...x.x....x.....x....x.x...x......x.,39,Beginner,True
puzzle_4431_2,9,AAAAAABBBACCAACDEECCCCCCDEECCCCCDDEEFFDDDDEEEGFFHHHEEEGFHHGGEEEGGGGGIIIEGGGGGGIIE,AABBBBBBBAAABCBBBBAAACCCCCCDDEEEFFCCDDEGFFFFCDDDGGGFFCDDGGHHHHCIIIIIHHHCIIIIIICCC,......x.xx...x......x.....x....x.x..x.x...........x.x..x.x..........x.x..x.x.....,39,Beginner,True
puzzle_6418_2,9,AAABBBCCCAAABBCCCCBABBBDCCCBBBDDDEEEBBDDDEEEEBFFFGGGGHBIFGGGGHHBIIGGHHHHIIIGGHHHH,AAABBBCCCAAAABBBCCAAAABBBCCDEEEEFBBCDDDDDFBGCDDHDDFBGGDDHFFFIIGHHHHFFFIIHHHHHHHHI,....x.x..x.x...........x.x..x.x..........x.x..x.x...........x.x..x.x....x.......x,39,Beginner,True
