name,N,board_1,solution,score,tier,is_solved
puzzle_2875,9,AAABBBBBCADAABCCCCADABBBECEADAFFBECEADDDFBEEEDDFFFFEGEHDFIGFGGEHDIIGFFGEHIIGGGGGG,.x..x..........x.x..x.x..........x.x.x.x..........x.x.x..x..........x.x.x.x......,45,Beginner,True
puzzle_7229,9,ABBBBBBBBAAAABCCCCADDDEECFCAAADEFFFCADADEEGFFDDDDDEGGFHDIIDIGFFHDHIIIIIFHHHHHHIFF,...x.x....x.....x....x.x....x......x....x.x..x.......x..x...x..x...x......x....x.,49,Beginner,True
puzzle_12111,9,AAABBBBBCADAAECCCCADAEECECEADAAECECEDDDFEEEEEFFFFFGEGEHFIIIGGGEHFIGIIIGEHIIGGGGGG,.....x.x..x.x..........x.x..x.x...........x.x..x.x....x.....x....x.x....x.......x,51,Beginner,True
puzzle_2282,9,AABBBCCCCABBDBBCECAADDDDCECFAFDFCCECFAFDFCEEEFFFFFFFFEGFGFHIIIEGFGHHHIEEGGGGIIIIE,....x.x..x.x...........x..x.x.x...........x.x..x.x....x......x....x.x....x.....x.,51,Beginner,True
puzzle_4213,9,AAAAAABBCDAEEEABCCDAAAEEBBCDAFEEBBEGDFFFEEEEGDDHFFFEGGDHHHIEEEGDDDDIEGGGDIIIIEEEG,....x...xx.....x....x.....x....x.x..x.x...........x.x..x.x..........x.x..x.x.....,52,Beginner,True
puzzle_9695,9,AAAAAAABBCADBABAABCADBBBABBCDDEEBBBFCGHHEEBFFCGHFEFFFICGHFEFIFICGFFFFIFIGGGGFIIII,.....x.x.x.x..........x.x...x......x...x.x...x......x...x.x..........x.x.x.x.....,56,Beginner,True
puzzle_8383,9,AAABBCDDDEABBFCCDFEEEBFFCDFGEGBFCCDFGEGBFFFFFGGGGHHHIFGIIIIIHIFGIGGGIHIFGGGIIIIII,x.x...........x.x..x.x..........x.x..x.x...........x.xx...x..........x.x..x.x....,57,Beginner,True
puzzle_3688,9,ABBCCDDDEAABBCCDEEABBCCDDDEAABBFDGEEABBFFGGGEAHHHFGEEEIIIHGGGGEIHHHHGHGEIIIIHHHEE,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...,58,Beginner,True
puzzle_10555,9,ABBBBBCDDAABEBCCCDFAAEEEECDFFFGEGEDDFGGGGGEGDFFFGHGGGDFIFIHGHGDIIIIHGHGDIHHHHHHHH,..x...x..x...x......x....x.x...x..........x.x.x.x..........x..x.x.x..........x.x.,59,Beginner,True
puzzle_1013,9,AAAAABBBCABBBABCCCAAABBBBBCDDDDBCCCCDEDBBFFFCDEEEFFCCCDGEFFHHHCDGEGFIICCGGGGGGIII,x...x......x...x......x...xx.x...........x.x..x.x..........x.x..x.x...........x.x,60,Beginner,True
puzzle_624,9,ABBBCCCCCAAABBBCBCADADDBBBCADDDBBEBBAAFDGEEEBAFFFGGGEEFFGFGHHIEFGGGGGHIEFFFFGHHII,..x.x....x.......x....x.x..x.x...........x.x..x.x..........x.x..x.x...........x.x,60,Beginner,True
puzzle_1915,9,AABBBBBBBCACBDDDBDCACBBBDDDCCCCEEEDFGCGCCEFDFGGGCFFFFFGCCCCCCFHGGICICHHHGIIIIIIII,x......x....x.x....x......x....x.x..x.x...........x.x..x.x...........x.x..x.x....,61,Beginner,True
puzzle_6737,9,AAAAAABBCADDABBBCCADAADEBBCDDADDEEEFGDDDEEHEFGDGDEHHEFGDGHHHFEFGGGGGFFFFGIIIIIIIF,.x......x....x.x....x.....x....x.x..x.x...........x.x.x..x..........x.x..x.x.....,62,Beginner,True
puzzle_98,9,AAABBBCDDAEAABCCCDAEAEBECDDAEEEEECCDAEFEFEDDDEEFFFFDGDFEFGGGGGGFFFFFHHHGIIIFHHGGG,.x..x..........x.x..x.x..........x.x.x.x..........x.x.x..x..........x.x.x.x......,62,Beginner,True
puzzle_1904,9,ABBBBBBBCAAAAADDDCAEEADDFCCAAEEEFFFCAEEGEEFHCIIGGGEHHCIGGIGEEHCIIIIGGEHCIGGGGHHHH,.x.x..........x.x..x.x..........x.x.x.x............x.xx...x......x.....x....x.x..,63,Beginner,True
puzzle_7329,9,AABBBBBBBCAAAAAABDCAEABABBDCCEABBBFDCEEEEBFFDCCGGEEFHDCGGIIHFHDCCGGIHHHDCGGIIIHDD,....x.x....x.....xx....x.....x....x.x...x..........x.x.x.x..........x.x..x.x.....,64,Beginner,True
puzzle_9217,9,AAABCCCDDABBBBBBDEAAAFBFDDEAGFFFFFDEGGGGGGFDEHHGFFFFEEHGGFIIFFEHHGGGIEEEHGGIIIIIE,....x.x..x.x..........x..x.x.x...........x.x..x.x..........x..x.x.x...........x.x,64,Beginner,True
puzzle_5600,9,ABBBBBBBBABAAAABCBAAADADBCCEADDDDFFCEAEDGFFCCEAEEGGFFCEEEGGFFHCEIEIGGGHHIIIIIIGGH,..x.x....x......x....x.x....x......x....x.x..x.x...........x.x..x.x...........x.x,66,Beginner,True
puzzle_445,9,AAAAABBBBCCCABBDBECAAAAADEECCCADDDDECAAADFEEECCGGFFFFECGGHHHIFFCCGGIHIIFCGGIIIIFF,..x...x......x...xx.....x......x...xx.x...........x.x..x.x..........x.x..x.x.....,67,Beginner,True
puzzle_4697,9,AAABBCCCCADAABBBCEADADBCCCEDDDDBBBCEDFDBBEEEEDFFFGEHHEDDFIGEHEEFFFIGHHEIIIIIIIIII,x......x....x.x....x.....x....x.x....x......x....x.x....x.....x....x.x..x.x......,68,Beginner,True
puzzle_7633,9,AABCCCCCCABBBBDCDCAABEBDDDCABBEEEEDDBBEEDDDDFGBGEEFFFFGGGGEEFHFGIGEEFFHHIIIIEEFFH,.x....x......x...x..x...x..x...x......x....x.x....x......x...x..x...x......x....x,68,Beginner,True
puzzle_11363,9,ABBCCCCCCAABBBCDDDABBEBCEDFAAAEBCEFFAEAEEEEEFEEEEGEFFFHEGEGGGFIHGGGGHFFIHHHHHHFII,..x.x..........x.x.x.x..........x.x.x.x..........x.x...x......x...x.x...x......x.,69,Beginner,True
puzzle_13038,9,AABBBBCCCDAABEBBBCDDAEEBCCCDAAAEBECEDDAEEEEEEDFFGGEGEHDDFIGGGEHDFFIIGHEHDFIIHHHHH,....x.x..x.x...........x.x.x.x..........x...x.x....x.....x....x.x...x......x...x.,69,Beginner,True
puzzle_5488,9,ABBBBBBBBABABCCBDDAAACCEBBDACCCEEBDDACFCGEEEDHFFGGGGEEHHFFGEEEGIHHIGGGGGIIIIIIIII,x.x...........x.x..x.x...........x.x..x.x....x......x....x.x....x......x....x.x..,69,Beginner,True
puzzle_2,9,AAAAABCCCADAEABBBCADAEEEBCCADCCCCCCFDDDDDCGGFHDHDGGGFFHDHDIIGGFHDHHHIGIFHHHIIIIII,.x...x......x...x.x....x.....x....x.x...x..........x.x..x.x..........x.x.x.x.....,70,Beginner,True
puzzle_4507,9,AAABBBBBCDABBEECCCDAAEEFCFCDADFFFCFCDDDDDFFFFDGFFFFHFHDGIIIFHFHGGGIHHHFHGIIIIIHHH,...x...x..x...x......x....x.x....x......x...xx.x..........x.x..x.x...........x.x.,70,Beginner,True
puzzle_7493,9,ABBBBBBBCAAABDBCCCEEDDDCCFCGEEEDDFFCGDDEDFFCCGGDDDDFFFGDDHHFFIFGHDHFFIIFHHHHHHHIF,....x.x..x.x..........x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.,70,Beginner,True
puzzle_10331,9,ABBBBBBBBAACCBDDDDEAACBDFDFEAGCCDFFFEAGGCDDFHEAIGGDFFHEIIHGDHFHEEIHGDHFHEHHHHHHHH,.....x.x..x.x..........x..x.x.x...........x.x..x.x....x......x...x.x....x.....x..,71,Beginner,True
puzzle_3973,9,AAAABBBCCACCCCCCCDAAAADDDCDAEDDDFDDDEEEFFFDFDEGEEGFFFHEGGGGGFHHEEGHHHHHIGGGGGHIII,....x.x..x.x..........x..x.x.x...........x.x..x.x..........x..x.x.x...........x.x,71,Beginner,True
puzzle_4392,9,AABBBBBBCDAAABCCCCDABBBECECDAFBEEEECDDFFFGEHCDFFGGGGHCDDFFFGHHCDFFIFGGCCDDDIIIIIC,....x...xx.x...........x.x..x.x..........x.x..x.x...........x.xx.x..........x.x..,71,Beginner,True
puzzle_6107,9,AAAABBBBCABBBBCBCCAAAABCCCDAEAFBBCDDAEAFBGCCDEEEFGGGGDEHEHGIIIDHHHHHIDDDHIIIIIIID,..x...x......x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.x...x....,71,Beginner,True
puzzle_8510,9,AAAAABCCCDABBBBBBCDAAEBCCBCDADEEECCCDDDDEFCFCDEEEEFFFFDDGEHHHHFDGGGHIIFFDDDGHHIII,x...x......x.....x....x.x..x.x...........x.x..x.x..........x.x..x.x...........x.x,71,Beginner,True
puzzle_285,9,AAABBBBBBCCBBDBDBDECCDDDDDDEECCCFGDGECCEEFGGGEEEEFFFFGEHEHHFGGGEHHHIFFIGHHIIIIIII,x.x...........x.x..x.x..........x.x..x.x...........x.xx...x......x.....x....x.x..,72,Beginner,True
puzzle_1945,9,AAAAAABBCADADABBECADADFFBECDDDDFBBECDFFFFFBBCDGGGFHHCCIIIGGGHHCIGGGHHHCCIIIIIIHHH,x.x...........x.x..x.x..........x.x..x.x...........x.xx...x......x.....x....x.x..,74,Beginner,True
puzzle_8710,9,ABBBBBBCCAAABCCBBCABBBBCCCCADDDBCECEAAFDDEEEEGAFFFEHEHGGGIIHHEHGIGGIIHEHGIIIIHHHH,....x.x..x.x...........x.x..x.x...........x.x..x.x....x.......x...x.x....x.....x.,75,Beginner,True
puzzle_11312,9,AAAABBBBBABBBBCBDBAAAAECDDBAEEEECCDBAAAECCFDDAGEEECFDFGGHHFFFFFGHHGFIIIFGGGGFFFII,x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x......x...x.,77,Beginner,True
puzzle_10403,9,AABBBBBCCABBABABBCAAAAAAAACADDDDACCCAEDEFFCFCEEEEGFFFCEGGGGFHCCEIIGFFHHHIIGGGFFFH,.....x.x..x.x...........x.x.x.x..........x.x.x.x..........x.x....x.....xx...x....,78,Beginner,True
puzzle_11881,9,AAAAAAAABCACCCCBBBCCCDDCDEBCDCCDDDEBCDDDDFDEECGDHFFFFEGGDHFHIIIGHHHHHHHIGGGGGHIII,.x.x...........x.x..x.x....x......x....x.x....x......x....x.x..x.x...........x.x.,78,Beginner,True
puzzle_695,9,AAAAABBBBACADBBDBEACADDDDBEACCFDEDEECCFFFEDEGCFFHHEEEGCFIIHHGEGCCCIIHGGGCHHHHHHHG,...x.x....x.....x....x.x...x......x...x.x..........x.xx.x..........x...x.x....x..,79,Beginner,True
puzzle_10812,9,AAAAAABBCDABBBAABCDEBEBBBBCDEEEEBCCCEEFFFBBGCEFFGGGGGCEEFFHGHGGFFFHHGHHGFIIIHHHGG,..x..x...x......x....x.x...x......x...x.x..........x.x.x..x..........x.x.x.x.....,80,Beginner,True
