name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_275_2,9,AAABBBBCCAABBDBCCCAAEDDBBCCAEEDDBBCCEEEEDBBCCEFFGHHHHHFFFGHHHHHFFFGIIIIIFFFFFIIII,AAABBBBBBAABBCBBBBDAABCBBBBDBBBCBEEEDFBBBBEEEDFFGGGEEEDFFFGHHIIDHHHHHHHIDHHHHHIII,..x...x......x...xx.x..........x.x...x......x...x.x....x.....x....x.x...x......x.,39,Beginner,True
puzzle_371_1,9,ABBBCCCCCABBBCDCCCAABBDDCECAAADDCCECFFADDDDEGFFAAHHHGGFFAAHHHGGFFFFIHHGGFFIIIHGGG,AAAABBBCCAAABBBBBCAADDDBBCCADDDDEEFFGGDDEEEFFGGDEEEHFFGIIEEEHFFGIIEHHHHHIIIIIIIHH,.x......x...x.x....x.....x....x.x...x......x...x.x..........x.xx...x......x...x..,40,Beginner,True
puzzle_455_2,9,AABBBBBCCAAABBBBCCAAABBBCCCDAEEEECCCDDFEEGGGCDHFFHHGGGDHFFHGGIIHHFHHGIIIHHHHHHIII,AABBBBBCCAABBBBDCCAABDDDDDCEBBFGGDDCEBFFGGGDCEBFEGGGGCEEEEEGHGCEEIIIGHCCEEEGGGHCC,.x......x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.x..........x.x,40,Beginner,True
puzzle_999_1,9,AAABBCCCCAADDBCCCCAAADBBCCCAAADDDEEFAAADDEEFFAAAAAEGFFHAHAAGGGGHHHAAGGGGIIIIIGGGG,AAAAAAABBAAAAAABBBCAAADDBBBCAAEEDFFFCEEEEDDFGCCCHHDDGGCHHHHHGGGCIHHHHGGGIIIIHHHHH,....x...x..x...x..x...x..........x.x.x.x..........x.x.x.x...........x.x..x.x.....,41,Beginner,True
puzzle_336_1,9,AAABBCCCCABBBCCCCDAAABCCCCDAABBBCCDDEEEBFFFGDHFFFFFFGDHIIIIFFGDHHIIIFFGGHHHHHHFFG,AAAAABBBBAAAAABBBBACCDBBEEBCCDDBEEEECDDFBBEEECDFFFFGGEHHHFIIGGGHHHIIIIGGHHIIIIIGG,..x.x..........x.x.x.x..........x.x.x.x...........x.x..x.x...........x.xx...x....,43,Beginner,True
puzzle_72_1,9,AABBBBBBBAAACBDDEEFAACBBDEEFFCCCDDGEFFFCCDDGGFFCCCCDGGHHCCCIGGGHHICCIIGGHHIIIIGGG,AAAABBBBBAAAABBBBBCCCDEEEEBCCCDDDEDFCCGGDDDDFCCGGDDDHFCCGGDDHHHICCIIHHHHIIIIIIIII,x....x.....x....x.x...x..........x.x..x.x..........x.x.x.x..........x.x..x.x.....,45,Beginner,True
puzzle_506_1,9,AAAAAABBBAAAAABBBBACCADEEBBFCAADDEEEFCCDDDEGEFCCDDGGGGCCCHGGGGGCHHHHGIIICCHHHIIII,AAABBCCCCDAABBBCCCDAAABBBEEDDDDDDEEEDDDDDFFEEGGGDDFEEEHHGHDFEIEHHHHHEEIEHHHHEEEIE,.x.x...........x.x..x.x....x.......x....x.x..x.x...........x.x..x.x..........x.x.,48,Beginner,True
puzzle_12_1,9,AAAABBBBBAAACBBBBDAEACCBBBDEEAACCBDDFEAABBBBBFFAAGGHHBFFFGGGGHHIFFIIGGHHIIIIIGGGG,ABBBBCCCCAABCCCCCDAAAACCCCDAAAECCCDDAFEEEEEEDFFEEGGEEEFFGGGGEEEFHGHHIEEIHHHHHIIII,..x.x..........x.x.x.x..........x.x..x.x..........x.x.x.x..........x...xx.....x..,51,Beginner,True
puzzle_322_1,9,AAAAAAAABAAACCCBBBAAADEEBBBAADDEEEEBFGDDGEEEBFGDGGEEEBFGGGGEHHBIGGGIIIHHIIIIIIIHH,AAAABBCCCAAABBBCCCDAABBBCCCDADEEECCCDDDFCCCGGDDFFHGGGGDFFFHGGGGDFFFHGIGIFFFFFIIII,.x......x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.x..........x.x,54,Beginner,True
puzzle_79_1,9,AAABCCCCCAABBCDCCCABBBDDCCCABEEEDDCFBBBGGDDFFBGGGGGDFFBHGGGGIIFHHGHGIIIFHHHHIIIIF,AAAABCCCCADDDBBCCCADDBBBBCCDDBBEEFFFDBBEEGFFFDHHEGGFFFDHHEIGGIIDHIEIIIIIHHIIIIIII,.x.....x....x.x...x......x...x.x..........x.x..x.x....x.....x.....x....x.x...x...,56,Beginner,True
puzzle_247_1,9,ABBBCCCCCAABBBCCCCAADBBBCCCADDBEECFCADAEECCFGAAAAAFFFGAAAHHHHHGAAHHHHIHGAAHHIIIIG,AAAAAAABBCCCCCBBBBCCDDDDDDDCCEEDDDFFCCCEEDDFFCCEEGDHHFIIEEGGGHHIIEEEEGHHIIIIIIIHH,.x.x..........x.x.x.x...........x.x..x.x...........x.xx...x......x...x......x...x,59,Beginner,True
